"Timestamp","ProcessId","ParentProcessId","Name","ExecutablePath"
"2026-06-18T05:49:13.1274375+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:49:13.1274375+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:49:13.6902989+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:49:13.6902989+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:49:14.2682039+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:49:14.2682039+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:49:14.8474021+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:49:14.8474021+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:49:15.3945466+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:49:15.3945466+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
