"Timestamp","State","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"2026-06-18T05:41:17.1723377+00:00","Bound","0.0.0.0","49993","0.0.0.0","0","3056"
"2026-06-18T05:41:17.2035897+00:00","Established","127.0.0.1","49993","127.0.0.1","49992","3056"
"2026-06-18T05:41:17.2192147+00:00","Established","127.0.0.1","49992","127.0.0.1","49993","3056"
"2026-06-18T05:41:18.2297262+00:00","Bound","0.0.0.0","49995","0.0.0.0","0","3056"
"2026-06-18T05:41:18.2297262+00:00","Bound","0.0.0.0","49994","0.0.0.0","0","3056"
"2026-06-18T05:41:18.2297262+00:00","Bound","0.0.0.0","49993","0.0.0.0","0","3056"
"2026-06-18T05:41:18.2297262+00:00","SynSent","127.0.0.1","49995","127.0.0.1","4449","3056"
"2026-06-18T05:41:18.2297262+00:00","SynSent","127.0.0.1","49994","127.0.0.1","4449","3056"
"2026-06-18T05:41:18.2297262+00:00","Established","127.0.0.1","49993","127.0.0.1","49992","3056"
"2026-06-18T05:41:18.2382720+00:00","Established","127.0.0.1","49992","127.0.0.1","49993","3056"
"2026-06-18T05:41:18.8512884+00:00","Bound","0.0.0.0","49995","0.0.0.0","0","3056"
"2026-06-18T05:41:18.8512884+00:00","Bound","0.0.0.0","49994","0.0.0.0","0","3056"
"2026-06-18T05:41:18.8512884+00:00","Bound","0.0.0.0","49993","0.0.0.0","0","3056"
"2026-06-18T05:41:18.8668444+00:00","SynSent","127.0.0.1","49995","127.0.0.1","4449","3056"
"2026-06-18T05:41:18.8668444+00:00","SynSent","127.0.0.1","49994","127.0.0.1","4449","3056"
"2026-06-18T05:41:18.8668444+00:00","Established","127.0.0.1","49993","127.0.0.1","49992","3056"
"2026-06-18T05:41:18.8668444+00:00","Established","127.0.0.1","49992","127.0.0.1","49993","3056"
"2026-06-18T05:41:19.4321665+00:00","Bound","0.0.0.0","49995","0.0.0.0","0","3056"
"2026-06-18T05:41:19.4321665+00:00","Bound","0.0.0.0","49994","0.0.0.0","0","3056"
"2026-06-18T05:41:19.4477368+00:00","Bound","0.0.0.0","49993","0.0.0.0","0","3056"
"2026-06-18T05:41:19.4477368+00:00","SynSent","127.0.0.1","49995","127.0.0.1","4449","3056"
"2026-06-18T05:41:19.4477368+00:00","SynSent","127.0.0.1","49994","127.0.0.1","4449","3056"
"2026-06-18T05:41:19.4477368+00:00","Established","127.0.0.1","49993","127.0.0.1","49992","3056"
"2026-06-18T05:41:19.4633714+00:00","Established","127.0.0.1","49992","127.0.0.1","49993","3056"
"2026-06-18T05:41:20.5341447+00:00","Bound","0.0.0.0","49999","0.0.0.0","0","3056"
"2026-06-18T05:41:20.5341447+00:00","Bound","0.0.0.0","49998","0.0.0.0","0","3056"
"2026-06-18T05:41:20.5341447+00:00","Bound","0.0.0.0","49997","0.0.0.0","0","3056"
"2026-06-18T05:41:20.5341447+00:00","Bound","0.0.0.0","49996","0.0.0.0","0","3056"
"2026-06-18T05:41:20.5341447+00:00","Bound","0.0.0.0","49993","0.0.0.0","0","3056"
"2026-06-18T05:41:20.5341447+00:00","SynSent","127.0.0.1","49999","127.0.0.1","4449","3056"
"2026-06-18T05:41:20.5341447+00:00","SynSent","127.0.0.1","49998","127.0.0.1","4449","3056"
"2026-06-18T05:41:20.5341447+00:00","SynSent","127.0.0.1","49997","127.0.0.1","4449","3056"
"2026-06-18T05:41:20.5341447+00:00","SynSent","127.0.0.1","49996","127.0.0.1","4449","3056"
"2026-06-18T05:41:20.5341447+00:00","Established","127.0.0.1","49993","127.0.0.1","49992","3056"
"2026-06-18T05:41:20.5341447+00:00","Established","127.0.0.1","49992","127.0.0.1","49993","3056"
"2026-06-18T05:41:21.0979728+00:00","Bound","0.0.0.0","49999","0.0.0.0","0","3056"
"2026-06-18T05:41:21.0979728+00:00","Bound","0.0.0.0","49998","0.0.0.0","0","3056"
"2026-06-18T05:41:21.0979728+00:00","Bound","0.0.0.0","49997","0.0.0.0","0","3056"
"2026-06-18T05:41:21.0979728+00:00","Bound","0.0.0.0","49996","0.0.0.0","0","3056"
"2026-06-18T05:41:21.0979728+00:00","Bound","0.0.0.0","49993","0.0.0.0","0","3056"
